id,question_id,selected_option,reason_text
1,19,A,我和初恋分手五年了，现在还会一起吃饭，真的就像普通朋友。
2,19,A,又不是所有分手都撕破脸，和平分手的人为什么不能做朋友。
3,19,A,我们共同朋友太多，老死不相往来反而让大家都尴尬。
4,19,A,我觉得能做朋友，才说明我真的放下了。
5,19,A,他后来帮我介绍过工作，我也帮他参考过买房，朋友比恋人更长久。
6,19,B,我试过做朋友，结果他一条朋友圈我就能失眠一整晚。
7,19,B,真心喜欢过的人，怎么可能甘心只做朋友。
8,19,B,做朋友就是给自己留一个复合的念想，对下一任不公平。
9,19,B,我前任加我微信三次，我都没通过，不是恨他，是怕我自己回头。
10,19,B,恋人退回到朋友，就像把冰淇淋放回冰箱，味道永远不一样了。
11,20,A,我跟我男朋友每次都是我先开口，不是因为我错了，是我受不了冷战。
12,20,A,我爸妈吵了一辈子，就是因为谁都不愿意先低头，我不想变成那样。
13,20,A,我觉得先和好不代表认输，只是我更珍惜这段关系。
14,20,A,上次我们吵完，我在沙发上坐了一小时，最后还是去抱了他一下。
15,20,A,冷战超过一天我会焦虑，宁可丢点面子也要把话说开。
16,20,B,每次都是我先低头，这次我想看看他会不会主动来找我。
17,20,B,我需要时间冷静一下，不是故意冷战，是真的没想好怎么说。
18,20,B,如果总是我迈出第一步，他会觉得理所当然。
19,20,B,我前任就是这样，每次都是我道歉，分开后我才意识到那段关系有多不平衡。
20,20,B,吵完架我整个人像关机了一样，等他来敲我的门。
21,21,A,我喜欢一群人吃饭的热闹，几个人抢菜聊天才有烟火气。
22,21,A,人多话题多，不会出现两个人突然没话说的尴尬。
23,21,A,我最好的朋友都是那种能一起嗨的，约饭当然要热闹。
24,21,A,几个人一起可以点很多菜，每样都尝一点才爽。
25,21,A,我喜欢张罗聚会，看大家吃得开心我也开心。
26,21,B,一对一才能聊点走心的，人多了全是场面话。
27,21,B,我最放松的状态就是和一个好朋友吃路边摊聊到深夜。
28,21,B,人一多我就得照顾气氛，反而没法好好吃饭。
29,21,B,有些话题只能在两个人之间说，多一个人都不行。
30,21,B,我更喜欢深度聊天，热闹对我来说有点吵。
31,24,A,我分手那天就删了所有联系方式，不然我会忍不住视奸他。
32,24,A,留着只会给自己留后路，删干净了才能逼自己往前走。
33,24,A,我看着他官宣新对象那次，决定再也不给自己这种机会了。
34,24,A,分手后还做朋友？我做不到，看到他的名字都会心跳停一拍。
35,24,A,我删的时候手都在抖，但删完整个人轻松了很多。
36,24,B,我们都是成年人，分手了也没必要搞得像仇人。
37,24,B,我手机里还躺着前任，但一年也点不开一次他的朋友圈。
38,24,B,毕竟在一起过，删了显得我很在意，留着反而证明我放下了。
39,24,B,工作上有共同朋友，删了见面反而尴尬。
40,24,B,我留着不是为了复合，是觉得那段回忆也是我人生的一部分。
41,25,A,一年就见几次亲戚，聊聊天也挺好的，不然过年多冷清。
42,25,A,我喜欢一家人聚在一起吃饭打牌的热闹劲。
43,25,A,平时大家各忙各的，过年是唯一能把人聚齐的时候。
44,25,A,虽然会被问东问西，但看到老人开心我也觉得值。
45,25,A,我就是喜欢过年那种人来人往的气氛。
46,25,B,过年回家对我来说就是换个地方躺着，走亲戚太累了。
47,25,B,七大姑八大姨的问题我招架不住，不如自己待着清净。
48,25,B,我爸妈家就是我的充电站，不想见太多人。
49,25,B,我宁愿在家看剧吃零食，也不想应付各种社交。
50,25,B,平时上班已经够累了，过年就想彻底隐身。
51,61,A,我知道放不下很没用，所以逼着自己删照片、删联系方式、搬新家。
52,61,A,我会列一个他的缺点清单，每次想他就看一遍。
53,61,A,我告诉自己，继续想他就是浪费自己的人生。
54,61,A,分手三个月我天天健身，把自己累到没力气想他。
55,61,A,我逼着自己认识新的人，虽然一开始很勉强。
56,61,B,放下一个人不是开关，说关就能关的。
57,61,B,我允许自己难过，哭够了自然就好了。
58,61,B,每次逼自己放下反而更想他，不如顺其自然。
59,61,B,我用了两年时间才真正走出来，急不来。
60,61,B,我会保留那些回忆，然后继续生活，不是非要忘记。
61,67,A,被喜欢的感觉太珍贵了，我不想再追着一个不爱我的人跑。
62,67,A,我谈过那种我很爱对方但他不爱我的感情，太累了。
63,67,A,选择一个喜欢我更多的人，我会比较有安全感。
64,67,A,他会主动关心我、记得我的喜好，这种被在乎的感觉很好。
65,67,A,我觉得感情是可以培养的，但前提是对方足够珍惜我。
66,67,B,如果我选择自己不喜欢的人，对他也不公平。
67,67,B,我还是想跟自己心动的人在一起，哪怕辛苦一点。
68,67,B,没有心动的感觉，日子过久了会觉得很空。
69,67,B,我前任就是我很喜欢他，虽然结局不好但我不后悔。
70,67,B,爱情对我来说，心动是底线。
71,71,A,我前任就是偷偷和前任打游戏认识的现任，我真的有阴影。
72,71,A,前任这种身份本身就敏感，再联系很难说是纯友谊。
73,71,A,我不是不信任他，是我不相信人性。
74,71,A,我介意的是他没告诉我，偷偷联系才是最伤人的。
75,71,A,我见过太多'我们只是朋友'最后变成'我们复合了'。
76,71,B,他自己都不介意，我有什么好介意的。
77,71,B,前任也是他人生的一部分，我不能要求他抹掉过去。
78,71,B,他们在一起五年，完全断掉也不现实，只要边界清楚就行。
79,71,B,我男朋友还留着前任送的围巾，我觉得那只是一个物品，不代表什么。
80,71,B,真正该担心的不是前任，是他有没有把你放在现在的位置上。
81,73,A,我太清楚那种仰望一个人的感觉了，长期下来会把自己耗光。
82,73,A,他身边的人都太优秀了，我跟他在一起压力山大。
83,73,A,我不想因为配不上他而处处小心翼翼，那种关系不健康。
84,73,A,我谈过这样的恋爱，最后我变得越来越不像自己。
85,73,A,差距太大的时候，分手不是不爱，是爱自己。
86,73,B,喜欢就在一起，想那么多干嘛。
87,73,B,我会努力让自己变得更好，而不是因为差距就放弃。
88,73,B,他都没觉得我配不上，我自己瞎担心什么。
89,73,B,我现在的男朋友比我优秀很多，但我相信他选择我是因为我有我的好。
90,73,B,爱情不是条件对比，是两个人愿不愿意一起往前走。
91,75,A,我看到那些照片就想起以前，删了才能真的翻篇。
92,75,A,留着合照对下一任不公平，我不想让他多想。
93,75,A,我分手那天就把相册清空了，眼泪一边掉一边删。
94,75,A,照片里的两个人已经不在了，留着只会让我沉溺。
95,75,A,我觉得删照片是给自己一个仪式，告诉过去结束了。
96,75,B,照片是我人生的一部分，不一定要因为分手就抹掉。
97,75,B,我把它们存在云盘深处，不经常看，但也不想删。
98,75,B,那都是真实的回忆，删了好像那段日子没存在过。
99,75,B,我已经放下了，照片留着也不会影响我。
100,75,B,说不定老了以后翻翻，还会觉得年轻时候挺有意思的。
101,76,A,和平分手的为什么不能做朋友，我又不恨他。
102,76,A,那么多年的感情变成陌生人太可惜了。
103,76,A,做朋友说明真的放下了，这才是最好的结局。
104,76,A,他现在就像我一个最熟悉的普通朋友。
105,76,A,分手后他帮我修过电脑，我帮他带过饭，朋友比恋人更长久。
106,76,B,我试过做朋友，结果他一条朋友圈我就能失眠一整晚。
107,76,B,真心爱过的人没法退回到朋友的位置。
108,76,B,做朋友就是给自己留后路，对现任不公平。
109,76,B,我前任加我微信三次，我都没通过，不是恨他，是怕我自己回头。
110,76,B,恋人退回到朋友，就像把冰淇淋放回冰箱，味道永远不一样了。
111,80,A,我分手后会反复复盘，想知道自己哪里做得不好。
112,80,A,我觉得复盘是为了下次不再犯同样的错。
113,80,A,每一段感情失败都有我的问题，我必须想清楚。
114,80,A,我会写日记，把整个过程梳理一遍，写完会释然很多。
